Generated on 10/26/2019 22:32:39

----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","0","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","17","10","[0, 8, 9, 2, 19]"
"N/A name","N/A email","17","11","[0, 8, 5, 9, 14]"
"N/A name","N/A email","18","12","[0, 4, 1, 17, 19]"
"N/A name","N/A email","15","9","[0, 16, 9, 5, 1]"
"N/A name","N/A email","18","12","[0, 1, 5, 13, 2]"
"N/A name","N/A email","17","11","[15, 19, 0, 14, 10]"
"N/A name","N/A email","17","11","[0, 10, 8, 4, 5]"
"N/A name","N/A email","15","9","[0, 8, 19, 4, 5]"
"N/A name","N/A email","17","11","[0, 4, 10, 2, 16]"
"N/A name","N/A email","15","9","[0, 19, 5, 11, 3]"
"N/A name","N/A email","18","12","[0, 13, 10, 12, 17]"
"N/A name","N/A email","17","11","[0, 9, 13, 17, 7]"
"N/A name","N/A email","18","12","[0, 10, 17, 9, 5]"
"N/A name","N/A email","18","12","[0, 10, 7, 17, 12]"
"N/A name","N/A email","16","10","[0, 5, 10, 4, 16]"
"N/A name","N/A email","17","12","[0, 15, 13, 17, 1]"
"N/A name","N/A email","17","11","[0, 14, 11, 1, 8]"
"N/A name","N/A email","16","9","[0, 4, 17, 7, 10]"
"N/A name","N/A email","15","9","[0, 19, 5, 10, 4]"
"N/A name","N/A email","16","9","[2, 0, 9, 8, 11]"
"N/A name","N/A email","14","9","[0, 2, 3, 14, 5]"
"N/A name","N/A email","16","9","[8, 0, 4, 19, 5]"
"N/A name","N/A email","15","10","[0, 19, 13, 14, 5]"
"N/A name","N/A email","16","11","[0, 1, 14, 19, 11]"
"N/A name","N/A email","17","10","[10, 0, 11, 5, 17]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","1","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","17","11","[5, 1, 2, 9, 10]"
"N/A name","N/A email","18","12","[1, 5, 17, 2, 8]"
"N/A name","N/A email","17","12","[1, 5, 0, 9, 8]"
"N/A name","N/A email","16","9","[1, 10, 14, 12, 9]"
"N/A name","N/A email","17","12","[1, 4, 17, 18, 11]"
"N/A name","N/A email","17","10","[10, 1, 0, 12, 8]"
"N/A name","N/A email","17","12","[17, 1, 18, 5, 19]"
"N/A name","N/A email","14","9","[1, 4, 17, 19, 0]"
"N/A name","N/A email","17","10","[19, 1, 14, 8, 5]"
"N/A name","N/A email","18","11","[1, 4, 9, 16, 13]"
"N/A name","N/A email","18","12","[11, 1, 4, 16, 9]"
"N/A name","N/A email","14","9","[10, 1, 19, 8, 17]"
"N/A name","N/A email","16","9","[5, 1, 0, 12, 8]"
"N/A name","N/A email","15","10","[10, 14, 9, 1, 7]"
"N/A name","N/A email","16","10","[1, 17, 5, 9, 0]"
"N/A name","N/A email","17","10","[1, 0, 8, 12, 16]"
"N/A name","N/A email","16","11","[1, 11, 16, 4, 9]"
"N/A name","N/A email","16","10","[14, 1, 8, 0, 11]"
"N/A name","N/A email","16","10","[1, 13, 0, 19, 7]"
"N/A name","N/A email","15","9","[0, 1, 16, 18, 10]"
"N/A name","N/A email","16","9","[1, 5, 18, 0, 8]"
"N/A name","N/A email","16","10","[1, 5, 2, 7, 3]"
"N/A name","N/A email","15","9","[1, 16, 10, 14, 17]"
"N/A name","N/A email","19","12","[1, 7, 14, 10, 17]"
"N/A name","N/A email","16","9","[1, 13, 8, 11, 14]"
----------------------------------------------------------------------------------------------------------------------------------------
Intensive Name,ID,Min. Age,Min. Grade,Max. Cap.
"N/A name","2","N/A","N/A","25"

Assigned Student,Email,Age,Grade,Prefs
"N/A name","N/A email","18","11","[2, 5, 17, 13, 4]"
"N/A name","N/A email","17","10","[14, 13, 2, 10, 18]"
"N/A name","N/A email","16","10","[19, 2, 5, 11, 0]"
"N/A name","N/A email","16","11","[2, 14, 9, 12, 11]"
"N/A name","N/A email","15","9","[2, 11, 19, 4, 1]"
"N/A name","N/A email","16","10","[19, 2, 11, 8, 16]"
"N/A name","N/A email","15","10","[2, 11, 0, 10, 1]"
"N/A name","N/A email","17","11","[14, 2, 9, 1, 10]"
"N/A name","N/A email","15","9","[9, 2, 5, 1, 16]"
"N/A name","N/A email","16","10","[9, 2, 1, 14, 7]"
"N/A name","N/A email","17","11","[2, 8, 9, 1, 5]"
"N/A name","N/A email","15","9","[2, 10, 11, 1, 19]"
"N/A name","N/A email","15","9","[2, 9, 10, 0, 1]"
"N/A name","N/A email","15","9","[5, 2, 10, 19, 0]"
